aX,aY,aZ,gX,gY,gZ
451.93,-4660.82,7419.24,-680.00,41.00,347.00
229.98,-5896.89,7143.15,-683.00,-222.00,580.00
172.39,-6153.49,7106.25,-628.00,262.00,588.00
32.64,-6153.49,5684.55,-904.00,1226.00,117.00
-247.24,-6153.49,4463.93,-1320.00,884.00,-182.00
-247.24,-6173.70,3747.56,-1554.00,-399.00,334.00
-247.24,-6239.82,2882.14,-1500.00,-1399.00,454.00
-247.24,-6239.82,1085.28,-1135.00,-721.00,-433.00
-247.24,-6239.82,-1535.63,-688.00,391.00,-1691.00
114.78,-6385.99,-3971.38,-447.00,202.00,-756.00
1647.67,-8871.99,-4530.50,-417.00,-1178.00,561.00
2250.48,-11163.59,-4801.50,-189.00,-1239.00,827.00
2415.09,-11770.73,-4801.50,89.00,50.00,-301.00
3424.14,-11770.73,-4801.50,212.00,342.00,-854.00
3424.14,-11770.73,-4801.50,238.00,-33.00,-1082.00
3424.14,-11770.73,-4530.50,298.00,-278.00,-924.00
3025.90,-11770.73,-4115.74,223.00,-376.00,-766.00
2415.09,-10956.44,-3641.84,763.00,-79.00,-587.00
2270.34,-9797.86,-3416.71,877.00,-467.00,-518.00
2415.09,-8755.92,-2922.02,1081.00,-489.00,-491.00
2400.86,-8481.92,-2386.01,1218.00,-357.00,-541.00
2270.34,-8299.95,-1645.21,1301.00,55.00,-361.00
2228.51,-8198.53,-1194.33,1319.00,130.00,-258.00
2209.47,-8150.35,-271.80,1319.00,166.00,-292.00
2209.47,-8084.21,671.72,1365.00,158.00,-372.00
2209.47,-7751.17,1562.63,1425.00,129.00,-332.00
2209.47,-7053.10,2055.58,1524.00,278.00,-75.00
2209.47,-6636.66,2567.35,1398.00,466.00,-9.00
2187.17,-6494.53,2994.41,1215.00,728.00,-132.00
2135.11,-6466.88,3797.45,819.00,483.00,-44.00
1939.50,-6424.80,4696.07,458.00,-5.00,157.00
1878.90,-6091.12,5324.84,289.00,-140.00,-27.00
1862.14,-5729.87,5891.30,350.00,11.00,-761.00
1403.68,-5729.87,5973.19,526.00,-146.00,-903.00
1274.85,-5729.87,6061.98,618.00,-400.00,-544.00
1051.71,-5729.87,6464.71,633.00,-499.00,-125.00
1039.41,-5729.87,7407.62,598.00,-454.00,40.00
1039.41,-5926.84,7407.62,-3.00,-132.00, 0.00
1039.41,-5984.26,7407.62,-2.00,-144.00,71.00
1051.71,-5996.73,7407.62,32.00,-104.00,28.00
1051.71,-6045.30,7407.62,74.00,-38.00,17.00
1462.80,-6106.55,6163.37,82.00,-36.00,-19.00
1896.88,-6241.18,5424.82,79.00,-35.00,-11.00
2308.53,-6490.31,5015.69,71.00,-32.00,-63.00
2597.52,-6538.07,4797.42,51.00,-24.00,-61.00
2682.91,-6564.04,4543.65,90.00,34.00,-111.00
2712.55,-6604.79,4435.79,112.00,67.00,-187.00
2773.13,-6641.31,4435.79,143.00,162.00,-190.00
2893.88,-6663.23,4435.79,192.00,177.00,-211.00
3051.93,-6663.23,4435.79,207.00,215.00,-182.00
3142.36,-6663.23,4435.79,203.00,236.00,-131.00
3142.36,-6663.23,4473.38,64.00,174.00, 9.00
3146.87,-6663.23,4572.83,-159.00,238.00,-43.00
3159.30,-6663.23,4735.30,-292.00,444.00,-122.00
3159.30,-6549.37,4992.38,-316.00,553.00,-73.00
3159.30,-6050.42,5312.23,-280.00,504.00,127.00
3146.87,-5824.97,5669.34,-168.00,396.00,439.00
3130.07,-5824.97,6128.40,-101.00,338.00,720.00
3064.78,-5766.59,6679.44,42.00,557.00,765.00
2860.44,-5430.95,7274.86,-48.00,564.00,727.00
2580.11,-5369.45,7829.32,-128.00,485.00,840.00
2539.87,-5292.75,8286.79,-207.00,464.00,1026.00
2419.52,-5292.75,8325.00,-353.00,206.00,1296.00
2330.87,-5292.75,8325.00,-571.00,130.00,1434.00
1896.52,-5057.25,8325.00,-894.00,-35.00,1188.00
1332.31,-4765.15,8325.00,-1242.00,-66.00,841.00
726.99,-4244.69,8325.00,-1676.00,11.00,101.00
310.19,-3588.81,8071.45,-1979.00,-55.00,-70.00
-66.68,-3135.73,7470.07,-2035.00,-236.00,-192.00
-121.85,-3135.73,6586.04,-1897.00,-239.00,270.00
-246.41,-3135.73,5592.02,-1758.00,143.00,-35.00
-465.11,-3135.73,4798.41,-1749.00,407.00,-970.00
-476.46,-3135.73,4232.65,-1674.00,-482.00,-328.00
-609.48,-4412.64,3734.39,-1321.00,-1340.00,1378.00
-609.48,-5026.78,2689.03,-731.00,-1516.00,2103.00
-609.48,-5356.07,934.62,-149.00,-733.00,1487.00
-609.48,-6486.04,-806.03,452.00,-683.00,924.00
-476.46,-8493.63,-2131.62,896.00,-939.00,860.00
246.53,-10693.78,-3391.37,1014.00,-685.00,-137.00
2497.12,-12869.47,-4566.02,984.00, 9.00,-1086.00
3844.67,-12870.77,-4714.38,803.00,295.00,-1355.00
3844.67,-12870.77,-4714.38,428.00,108.00,-1424.00
3844.67,-12870.77,-4714.38,274.00,-65.00,-1069.00
3844.67,-12870.77,-4714.38,511.00,-112.00,-689.00
3844.67,-12870.77,-4714.38,745.00,103.00,-568.00
2823.01,-10580.86,-4233.03,532.00, 3.00,-890.00
2027.94,-8920.12,-3589.02,1208.00,-293.00,-392.00
1905.23,-8214.47,-2762.61,1098.00,-542.00,-600.00
1897.40,-8153.48,-1694.37,713.00,11.00,-817.00
1811.39,-7600.89,-1043.02,720.00,306.00,-520.00
1777.24,-7335.33,95.79,779.00,433.00,-477.00
1673.14,-6313.60,854.27,813.00,441.00,-651.00
1673.14,-5491.69,2014.16,766.00,601.00,-808.00
