aX,aY,aZ,gX,gY,gZ
-140.48,690.95,-8053.79, 5.00,-35.00,-22.00
-139.80,690.95,-8054.00,22.00,-30.00, 3.00
-139.80,690.95,-8055.48,19.00,-58.00, 0.00
-140.48,691.69,-8055.60,18.00,-38.00,-5.00
-141.00,690.95,-8055.60,24.00,-42.00,17.00
-142.06,690.95,-8055.60,14.00,-56.00,-19.00
-142.68,690.95,-8055.60, 1.00,-21.00,-11.00
-143.20,691.25,-8055.77,10.00,-38.00, 9.00
-144.09,691.25,-8056.56, 8.00,-20.00, 3.00
-145.33,691.69,-8056.65,19.00,-41.00,-13.00
-145.33,691.69,-8056.65,53.00,-30.00,-5.00
-145.33,691.69,-8056.65,35.00,-49.00,-22.00
-145.33,691.25,-8056.65,11.00,-41.00, 3.00
-143.92,691.25,-8056.65,14.00,-49.00,-6.00
-143.20,690.77,-8056.04,16.00,-27.00, 5.00
-143.92,690.77,-8055.22,26.00,-16.00, 2.00
-143.92,690.76,-8054.81, 0.00,-30.00, 5.00
-143.92,690.76,-8054.81,35.00,-44.00,43.00
-143.92,690.32,-8054.81,12.00,-33.00,-16.00
-151.37,690.76,-8054.81,16.00,-50.00,22.00
-151.37,690.76,-8054.81,-748.00,-864.00,2007.00
-151.37,690.76,-8054.68,279.00,-630.00,-1460.00
-151.37,690.76,-8053.13,-106.00,102.00,1025.00
-151.37,689.47,-8044.08,-8.00,-76.00,-204.00
338.02, 2.55,-8044.08,18.00,15.00,-109.00
338.02,-349.67,-8044.08,-22.00,-24.00,-191.00
338.02,-349.67,-8044.08,-2.00,-28.00,-216.00
338.02,-349.67,-8044.08,-128.00,-111.00,250.00
338.02,-349.67,-8065.10,-359.00,-238.00,185.00
280.01, 2.55,-8065.10,349.00,-434.00,-260.00
253.81,127.40,-8065.10,322.00,-322.00,-44.00
238.81,531.24,-8065.10,351.00,-374.00,-6.00
219.68,787.49,-8065.10,562.00,-485.00,-11.00
196.69,787.49,-8043.38,-3.00,-50.00,-5.00
38.01,787.49,-8032.43,42.00,-19.00, 3.00
-85.76,787.49,-8032.43,-62.00, 6.00,22.00
-103.59,787.49,-8032.43,-61.00, 3.00,11.00
-131.11,754.26,-8032.43,-62.00, 4.00,17.00
-131.11,705.76,-8032.43,14.00,-79.00, 5.00
-131.11,670.34,-8034.18,125.00,-113.00,-13.00
-131.81,669.24,-8043.38,57.00,-42.00, 1.00
-133.68,667.05,-8054.86,40.00,-45.00, 9.00
-133.68,663.43,-8056.23,-3.00,-25.00, 9.00
-137.59,662.06,-8058.11,-18.00,-22.00,17.00
-137.59,659.48,-8058.11,-34.00,-47.00,-10.00
-140.55,655.80,-8058.11,13.00,-66.00,-40.00
-140.55,655.80,-8054.86,34.00,-57.00,-11.00
-143.10,655.80,-8054.86,25.00,-47.00, 8.00
-143.10,655.80,-8058.11, 8.00,-29.00, 0.00
-143.10,655.86,-8056.92,-3.00,-33.00,27.00
-144.28,655.86,-8058.15,11.00,-16.00, 8.00
-143.10,656.38,-8058.15,18.00,-31.00,-3.00
-143.10,657.51,-8056.92,13.00,-39.00,18.00
-143.10,659.31,-8056.37, 2.00,-31.00,22.00
-143.10,665.60,-8056.37,-6.00,-23.00,-17.00
-143.52,666.23,-8056.92,11.00,-32.00,14.00
-146.45,668.96,-8056.92, 5.00,-17.00,15.00
-148.11,669.34,-8056.37,13.00,-34.00,28.00
-151.30,669.34,-8056.13,21.00,-35.00,-23.00
-151.30,672.75,-8054.22,16.00,-42.00,-2.00
-151.30,673.43,-8054.05,26.00,-43.00,-11.00
-151.30,673.43,-8044.15,29.00,-61.00, 3.00
-152.07,673.43,-8044.15, 0.00,-22.00,-2.00
-151.73,673.43,-8044.15,19.00,-13.00,-8.00
-151.30,673.43,-8044.15,29.00,-32.00,-17.00
-149.73,672.75,-8044.15,17.00,-6.00,25.00
-149.55,673.43,-8051.29,18.00,-55.00, 1.00
-149.04,673.43,-8052.44,19.00,-65.00, 9.00
-147.04,673.43,-8052.77, 3.00,-57.00,-13.00
-147.04,674.01,-8054.06,24.00,-47.00, 8.00
-147.04,674.25,-8054.72,16.00,-28.00,-25.00
-147.04,674.44,-8054.72,30.00,-41.00,-2.00
-147.04,677.33,-8054.72,13.00,-55.00, 9.00
-147.18,675.84,-8054.72,-5.00,-2.00, 6.00
-149.34,675.90,-8054.72,38.00,-43.00,12.00
-149.34,677.33,-8052.21,18.00,-52.00, 1.00
-151.51,677.33,-8052.21,38.00,-49.00,-16.00
-151.51,678.15,-8052.21,30.00,-46.00,-14.00
-151.60,678.34,-8051.48, 4.00,-45.00,-10.00
-151.62,678.34,-8050.39,-11.00,-31.00,12.00
-151.62,678.34,-8051.48,22.00,-50.00, 6.00
-151.62,677.43,-8051.48,11.00,-45.00,19.00
-151.62,677.43,-8051.56,19.00,-27.00,-9.00
-152.17,678.34,-8052.13,17.00,-27.00,-3.00
-156.32,678.74,-8051.56,-2.00,-24.00,291.00
-156.50,679.72,-8051.26,-1764.00,1520.00,2355.00
-158.19,680.38,-8050.39,134.00,418.00,1332.00
-159.10,680.38,-8050.39,38.00,-168.00,-297.00
-159.86,680.44,-8044.48,50.00,-49.00,718.00
-331.68,949.74,-8044.48,53.00,-69.00,-200.00
-331.68,1024.89,-8038.92,13.00,-46.00,505.00
-331.68,1171.49,-7988.87, 3.00,-93.00,73.00
-331.68,1171.49,-7969.93,-18.00,25.00,241.00
-331.68,1171.49,-7943.17, 8.00,-44.00,-3.00
-138.61,1163.52,-7969.93,-60.00,-64.00, 9.00
-43.97,1131.86,-7988.87,-147.00,-61.00,-135.00
10.42,1024.89,-7992.30,-244.00,-110.00,-157.00
10.42,949.74,-7969.93,798.00,-776.00,-446.00
10.42,844.01,-7943.17,45.00,22.00,-609.00
10.42,827.35,-7908.62,113.00,-163.00,-209.00
10.42,827.35,-7908.62,535.00,-471.00,-59.00
-267.79,827.35,-7943.17,245.00,-228.00,14.00
-267.79,823.50,-7992.30,11.00,-60.00,-23.00
-267.79,823.50,-8027.67,19.00,-71.00,-2.00
-267.79,750.90,-8027.67,-53.00, 5.00,-33.00
-267.79,690.54,-8027.67,-88.00,39.00,25.00
-229.88,690.54,-8032.79,-53.00,11.00,23.00
-197.93,690.54,-8032.79,35.00,-64.00,22.00
-183.16,690.54,-8032.79,91.00,-94.00,-16.00
-160.29,664.67,-8047.45,59.00,-88.00,12.00
-148.58,662.72,-8049.80,35.00,-71.00, 0.00
-147.18,661.78,-8051.40,-7.00,-38.00, 6.00
-147.18,659.63,-8052.87,-17.00,-16.00,25.00
-145.96,653.20,-8052.87,10.00, 0.00,-3.00
-142.60,653.20,-8051.40, 5.00,-44.00, 9.00
-139.94,651.84,-8047.45,24.00,-44.00,-13.00
-140.02,649.70,-8051.15,27.00,-33.00,-20.00
-142.60,649.70,-8052.87,11.00,-58.00,-6.00
-142.81,649.70,-8056.20, 1.00,-19.00,-28.00
-142.81,651.65,-8059.89, 6.00,-24.00,-23.00
-142.81,651.84,-8056.20, 5.00,-27.00,12.00
-142.81,653.50,-8056.20,21.00,-34.00, 2.00
-142.90,658.99,-8059.65,21.00,-30.00,16.00
-144.16,658.99,-8059.65,16.00,-35.00, 3.00
-147.76,659.39,-8059.65,13.00,-24.00,17.00
-148.93,660.76,-8059.65, 9.00,-30.00,-21.00
-148.94,666.32,-8056.14,18.00,-38.00,14.00
-148.94,666.43,-8055.39, 3.00,-61.00,12.00
-148.94,666.32,-8052.03,10.00,-57.00,28.00
-149.53,665.64,-8051.46, 6.00,-41.00,-28.00
-149.72,665.64,-8050.87,-10.00,-33.00, 9.00
-150.30,667.31,-8047.72,29.00,-6.00, 3.00
-150.30,667.67,-8047.62, 8.00,-25.00,12.00
-149.72,668.18,-8047.62, 3.00,-42.00,30.00
-149.53,668.08,-8047.72,17.00,-47.00,-14.00
-149.72,667.67,-8050.87,16.00,-55.00, 0.00
-150.30,668.08,-8051.46,29.00,-47.00,-3.00
-150.91,668.18,-8051.46,24.00,-61.00,20.00
-151.45,670.79,-8050.87,16.00,-49.00,-31.00
-151.45,671.55,-8051.71, 7.00,-3.00, 0.00
-151.45,671.55,-8052.94,10.00,-52.00,12.00
-152.34,670.79,-8052.94,-2.00,-39.00,11.00
-152.34,671.55,-8051.71,11.00,-35.00,12.00
-152.34,674.13,-8051.71,22.00,-69.00,-2.00
-152.34,675.54,-8051.49,13.00,-50.00, 9.00
-151.41,675.68,-8050.98,34.00,-46.00,-15.00
-150.67,675.68,-8050.98,18.00,-46.00, 8.00
-150.67,675.54,-8051.49,10.00,-40.00, 6.00
-150.67,674.13,-8051.49,17.00,-17.00,22.00
-148.59,675.49,-8051.49, 3.00,-35.00, 6.00
-148.59,675.49,-8051.79, 3.00,-20.00, 0.00
-148.59,674.50,-8051.79,18.00,-47.00,20.00
-148.59,674.50,-8051.79,22.00,-63.00,11.00
-148.65,673.71,-8054.48,22.00,-52.00,-14.00
-148.81,671.82,-8054.73,11.00,-33.00,-2.00
-149.59,671.82,-8054.73,22.00,-25.00,-11.00
-149.59,671.82,-8054.73,21.00,-12.00,21.00
-149.59,672.19,-8054.48,26.00,-30.00,11.00
-152.01,670.57,-8054.44,18.00,-33.00,11.00
-153.28,670.31,-8053.06,35.00,-36.00,14.00
-154.37,670.57,-8053.06,24.00,-63.00,-28.00
-155.17,670.57,-8053.06,12.00,-42.00, 0.00
-156.30,670.57,-8053.06,13.00,-41.00,-14.00
-156.98,670.31,-8053.06, 8.00,-36.00,14.00
-157.02,668.51,-8052.33,16.00,-24.00,11.00
-158.99,666.43,-8052.30,24.00,-30.00, 8.00
-159.22,666.43,-8052.33,11.00,-21.00, 2.00
-158.99,666.43,-8052.33,42.00,-28.00, 3.00
-158.99,666.43,-8054.11,11.00,-50.00,23.00
-159.22,666.43,-8054.52,-2465.00,7520.00,-1939.00
-159.22,668.13,-8054.52,101.00,-375.00,546.00
-159.22,669.47,-8054.52,-265.00,206.00,423.00
-158.95,670.21,-8054.11,-39.00,41.00,367.00
-158.92,671.68,-8054.11,38.00,-58.00,115.00
17.36,956.22,-8054.11,15.00,-32.00,-278.00
40.42,956.22,-8045.82,13.00,-25.00,20.00
52.25,956.22,-8050.29,-13.00,-7.00,-116.00
52.94,956.22,-8050.29,-19.00,-6.00,118.00
72.15,956.22,-8050.29,-23.00,-30.00,-31.00
84.49,885.33,-8050.29,-38.00,-33.00,72.00
89.09,840.40,-8050.29,-111.00,-60.00,-43.00
94.26,818.91,-8058.58,-133.00,-217.00,-12.00
94.26,807.84,-8058.58,534.00,-325.00,-1022.00
94.26,807.52,-8058.58,128.00,-141.00,-6.00
94.26,793.86,-8058.58,408.00,-452.00,-39.00
94.26,787.10,-8058.58,583.00,-570.00,-54.00
